Course,Exam,Credits
BAI,Foundations of Economic Sciences	,8
BAI,Computer Science - Module 1 ,8
BAI,Mathematical Analysis - Module 1	,8
BAI,Algebra and Geometry,7
BAI,Foundations of Physics I 	,8
BAI,Computer Science - Module 2 ,8
BAI,Probability ,8
BAI,Mathematical Analysis - Module 2	,7
BAI,Foundations of Physics II	,8
BAI,Decision Theory and Human Behaviour	,8
BAI,Mathematical Statistics	,8
BAI,Advanced Analysis and Optimization - Module 1,5
BEMACC,Management,10
BEMACC,Philosophy of Art,6
BEMACC,Mathematics,9
BEMACC,Law - module 1 (Private Law),6
BEMACC,Microeconomics,7
BEMACC,Economic History,7
BEMACC,Critical Approaches to the Arts,6
BEMACC,Computer Science,6
BEMACC,First Language,4
BEMACC,Accounting 1,5
BEMACC,Statistics,8
BEMACC,Elective 1,6
BEMACC,Cultural Antropology,6
BEMACC,Macroeconomics,7
BEMACS,Microeconomics,8
BEMACS,Mathematics and Statistics 1,8
BEMACS,Principles of Management,8
BEMACS,Mathematics and Statistics 2,8
BEMACS,Fundamentals of Computer Science,8
BEMACS,Accounting,8
BEMACS,Fundamentals of IT Law,8
BEMACS,First Foreign language,4
BEMACS,Advanced Mathematics and Statistics 1,7
BEMACS,Macroeconomics,8
BEMACS,Fundamentals of Computer Programming,7
BEMACS,Advanced IT Law,7
BEMACS,Technology Innovation Seminar 1,1
BESS,Mathematics - module 1,9
BESS,Fundamentals of management,7
BESS,Foundations of economics - module 1,7
BESS,Logic and methodology of social sciences,6
BESS,Mathematics - module 2,9
BESS,Foundations of economics - module 2 ,7
BESS,Statistics - module 1,7
BESS,Computer science,6
BESS,First language,4
BESS,Statistics - module 2,7
BESS,Strategic decision making and markets,8
BESS,Macroeconomics and economic policy,8
BESS,Economic history,6
BIEF,Management,10
BIEF,Microeconomics,9
BIEF,Mathemathics 1,8
BIEF,Macroeconomics,8
BIEF,Mathematics 2,7
BIEF,Introduction to the legal system 1,6
BIEF,Computer Science,6
BIEF,First language,4
BIEF,Accounting 1,5
BIEF,Statistics,8
BIEF,FMI,6
BIEF,Introduction to the legal system 2,6
BIEF,Economic History,6
BIEF,Critical Thinking Seminar,1
BIEM,Economia Aziendale,10
BIEM,Microeconomia,9
BIEM,Matematica Generale,8
BIEM,Macroeconomia,8
BIEM,Matematica Finanziaria,7
BIEM,Diritto Privato,6
BIEM,Informatica,6
BIEM,Inglese,4
BIEM,Bilancio 1,5
BIEM,Statistica,8
BIEM,Sistema Finanziario,6
BIEM,Storia Economica,6
BIEM,Diritto Pubblico,6
BIEM,Critical Thinking Seminar,1
CLEACC,Economia Aziendale,10
CLEACC,Estetica,6
CLEACC,Matematica Generale e Finanziaria,9
CLEACC,Diritto Privato,6
CLEACC,Microeconomia,7
CLEACC,Storia Economica,7
CLEACC,Metodo e ricerca delle discipline artistiche,6
CLEACC,Informatica,6
CLEACC,Inglese,4
CLEACC,Bilancio 1,5
CLEACC,Statistica,8
CLEACC,Opzionale 1,6
CLEACC,Antropologia,6
CLEACC,Macroeconomia,7
CLEAM,Economia Aziendale,10
CLEAM,Microeconomia,9
CLEAM,Matematica Generale,8
CLEAM,Macroeconomia,8
CLEAM,Matematica Finanziaria,7
CLEAM,Diritto privato,6
CLEAM,Informatica,6
CLEAM,Inglese,4
CLEAM,Bilancio 1,5
CLEAM,Statistica,8
CLEAM,Sistema Finanziario,6
CLEAM,Storia Economica,6
CLEAM,Diritto pubblico,6
CLEAM,Critical Thinking Seminar,1
CLEF,Economia Aziendale,10
CLEF,Microeconomia,9
CLEF,Matematica Generale,8
CLEF,Macroeconomia,8
CLEF,Matematica Finanziaria,7
CLEF,Diritto privato,6
CLEF,Informatica,6
CLEF,Inglese,4
CLEF,Bilancio 1,5
CLEF,Statistica,8
CLEF,Sistema Finanziario,6
CLEF,Storia Economica,6
CLEF,Diritto pubblico,6
CLEF,Critical Thinking Seminar,1